Balance Owing: $ 624.00
APR as %  24
Percent for minimum payment as %  4

Month           Balance            Interest        Minimum         Sum of
                                  this Month                    interest paid
 1               611.02             12.48           25.46           12.48
 2               598.04             12.22           24.93           24.70
 3               585.33             11.96           24.40           36.66
 4               572.89             11.71           23.88           48.37
 5               560.72             11.46           23.37           59.83
 6               548.80             11.21           22.88           71.04
 7               537.14             10.98           22.39           82.02
 8               525.72             10.74           21.92           92.76
 9               514.55             10.51           21.45          103.27
10               503.62             10.29           20.99          113.56
11               492.91             10.07           20.55          123.64
12               482.44              9.86           20.11          133.50
13               472.19              9.65           19.68          143.14
14               462.15              9.44           19.27          152.59
15               452.33              9.24           18.86          161.83
16               442.72              9.05           18.46          170.88
17               433.31              8.85           18.06          179.73
18               424.10              8.67           17.68          188.40
19               415.09              8.48           17.30          196.88
20               406.27              8.30           16.94          205.18
21               397.63              8.13           16.58          213.31
22               389.18              7.95           16.22          221.26
23               380.91              7.78           15.88          229.04
24               372.82              7.62           15.54          236.66
25               364.89              7.46           15.21          244.12
26               357.14              7.30           15.00          251.42
27               349.44              7.14           15.00          258.56
28               341.58              6.99           15.00          265.55
29               333.57              6.83           15.00          272.38
30               325.40              6.67           15.00          279.05
31               317.07              6.51           15.00          285.56
32               308.58              6.34           15.00          291.90
33               299.92              6.17           15.00          298.07
34               291.09              6.00           15.00          304.07
35               282.09              5.82           15.00          309.89
36               272.91              5.64           15.00          315.53
37               263.55              5.46           15.00          320.99
38               254.01              5.27           15.00          326.26
39               244.28              5.08           15.00          331.34
40               234.36              4.89           15.00          336.23
41               224.25              4.69           15.00          340.92
42               213.94              4.48           15.00          345.40
43               203.42              4.28           15.00          349.68
44               192.70              4.07           15.00          353.75
45               181.77              3.85           15.00          357.60
46               170.62              3.64           15.00          361.24
47               159.26              3.41           15.00          364.65
48               147.67              3.19           15.00          367.83
49               135.86              2.95           15.00          370.79
50               123.81              2.72           15.00          373.51
51               111.53              2.48           15.00          375.98
52                99.00              2.23           15.00          378.21
53                86.23              1.98           15.00          380.19
54                73.21              1.72           15.00          381.92
55                59.94              1.46           15.00          383.38
56                46.40              1.20           15.00          384.58
57                32.60              0.93           15.00          385.51
58                18.53              0.65           15.00          386.16
59                 0.00              0.37            4.55          386.53

Programmed By: Janani Pandurangan
Email: jananipandurangan05@gmail.com
Title: Lab 6 - Credit Card Debt
